Name,YearPublished,GameWeight,MinPlayers,MaxPlayers,ComAgeRec,InterestScore,NumWeightVotes,log_NumWeightVotes,PlaytimeComAvg,NumUserRatings,log_NumUserRatings,NumAlternates,NumAlternates_log,NumExpansions,NumExpansions_log,NumImplementations,NumImplementations_log,IsReimplementation,Kickstarted,Cat:Thematic,Cat:Strategy,Cat:War,Cat:Family,Cat:CGS,Cat:Abstract,Cat:Party,Cat:Childrens,Rating,InterestScore_log
Paw Patrol Adventure Game,2014,1.0,2,6,3.0,48.333333333333336,6,1.9459101490553132,20.0,65,4.189654742026425,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,3.8985999850960056
Dragon Lords,1993,2.0,2,6,10.0,51.333333333333336,4,1.6094379124341003,120.0,31,3.4657359027997265,1,0.6931471805599453,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,2,3.9576335166801986
Gold und Rum,2003,1.6471,4,7,8.0,119.0,17,2.8903717578961645,45.0,176,5.176149732573829,2,1.0986122886681098,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,4.787491742782046
Chronicler,2015,1.7143,2,4,10.0,51.666666666666664,7,2.0794415416798357,20.0,93,4.543294782270004,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,3.963982744358857
HeroCard: Rise of the Shogun,2006,2.4444,2,2,11.2,162.0,36,3.6109179126442243,75.0,171,5.147494476813453,0,0.0,2,1.0986122886681098,0,0.0,0,0,0,1,0,0,0,0,0,0,2,5.093750200806762
Ascension: Immortal Heroes,2012,2.1091,1,2,11.428571428571429,1145.6666666666667,55,4.02535169073515,30.0,1560,7.353081920515432,2,1.0986122886681098,32,3.4965075614664802,0,0.0,0,0,0,1,0,0,0,0,0,0,3,7.044614461699334
Rocketmen,2021,2.62,1,4,10.857142857142858,1090.3333333333333,50,3.9318256327243257,60.0,966,6.874198495453294,0,0.0,0,0.0,0,0.0,0,1,0,1,0,0,0,0,0,0,2,6.99515546926297
Flagship: Prometheus Unchained,2002,2.0833,2,4,10.0,150.33333333333334,24,3.2188758248682006,180.0,182,5.209486152841421,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,2,5.019484909373238
Dry Gulch,1999,2.0,3,6,10.0,49.0,7,2.0794415416798357,150.0,66,4.204692619390966,0,0.0,0,0.0,1,0.6931471805599453,0,0,0,0,0,0,0,0,0,0,1,3.912023005428146
"Warhammer 40,000 (Eighth Edition)",2017,3.4706,2,12,12.0,289.3333333333333,17,2.8903717578961645,150.0,396,5.983936280687191,0,0.0,54,4.007333185232471,2,1.0986122886681098,1,0,0,0,1,0,0,0,0,0,3,5.671029688184393
Watson & Holmes,2015,2.1875,2,7,14.0,2193.6666666666665,48,3.8918202981106265,60.0,2379,7.77485576666552,5,1.791759469228055,1,0.6931471805599453,1,0.6931471805599453,0,0,1,0,0,0,0,0,0,0,3,7.693785453688796
Dream Heist,2014,2.0,2,5,10.0,37.0,3,1.3862943611198906,60.0,47,3.871201010907891,1,0.6931471805599453,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,3.6375861597263857
Ancients: Thapsos & Alexandria,1994,1.6667,2,2,14.0,57.0,3,1.3862943611198906,45.0,36,3.6109179126442243,3,1.3862943611198906,0,0.0,0,0.0,0,0,0,0,1,0,0,0,0,0,1,4.060443010546419
Monopoly: Star Wars Limited Collector's Edition,1996,1.6548,2,8,10.0,973.6666666666666,84,4.442651256490317,60.0,1089,6.993932975223189,5,1.791759469228055,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,6.88209553220156
Lost Patrol,2000,1.625,2,4,8.0,327.3333333333333,32,3.4965075614664802,25.0,338,5.82600010738045,0,0.0,0,0.0,1,0.6931471805599453,0,0,1,0,0,0,0,0,0,0,2,5.794029352503979
Tinian: The Forgotten Battle,2019,3.1667,1,2,16.0,105.33333333333333,6,1.9459101490553132,510.0,45,3.828641396489095,0,0.0,0,0.0,0,0.0,0,0,0,0,1,0,0,0,0,0,3,4.666578814116735
Tortuga,2014,1.8421,2,4,8.666666666666666,342.6666666666667,19,2.995732273553991,35.0,337,5.823045895483019,0,0.0,2,1.0986122886681098,0,0.0,0,1,0,0,0,0,0,0,0,0,1,5.83967219534885
Shadows of Brimstone: City of the Ancients,2014,3.3481,1,4,11.513513513513514,3304.0,181,5.204006687076795,120.0,3565,8.179199798423086,0,0.0,142,4.962844630259907,1,0.6931471805599453,0,1,1,0,0,0,0,0,0,0,3,8.103191752285786
Trötofant,2005,1.0,2,4,4.333333333333333,148.33333333333334,10,2.3978952727983707,10.0,142,4.962844630259907,3,1.3862943611198906,0,0.0,0,0.0,0,0,0,0,0,1,0,0,0,1,2,5.006180943746876
Norsaga,2015,1.8333,2,4,8.0,227.66666666666666,12,2.5649493574615367,30.0,229,5.438079308923196,0,0.0,5,1.791759469228055,0,0.0,0,1,0,0,0,1,0,0,0,0,2,5.432265339057776
The Final Frontier,1997,2.6,2,4,14.0,81.33333333333333,10,2.3978952727983707,120.0,40,3.713572066704308,1,0.6931471805599453,0,0.0,0,0.0,0,0,0,0,1,0,0,0,0,0,1,4.410776047959867
Spanish Main,1984,2.7143,1,6,11.2,115.66666666666667,7,2.0794415416798357,90.0,99,4.605170185988092,0,0.0,0,0.0,0,0.0,0,0,0,1,0,0,0,0,0,0,2,4.75932086581535
Huída del Imperio Cobra II,1983,1.0,2,4,10.0,20.333333333333332,3,1.3862943611198906,45.0,37,3.6375861597263857,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,3.060270794691562
Castellan,2013,1.4444,2,2,6.0,859.0,45,3.828641396489095,45.0,958,6.8658910748834385,0,0.0,0,0.0,0,0.0,0,0,0,0,0,1,0,1,0,0,2,6.756932389247553
Masters of the Universe,1984,1.1111,2,4,7.0,39.333333333333336,9,2.302585092994046,60.0,51,3.9512437185814275,1,0.6931471805599453,0,0.0,0,0.0,0,0,0,0,0,1,0,0,0,1,1,3.6971782569286313
8th Army,1982,2.8,2,2,14.0,56.666666666666664,5,1.791759469228055,180.0,55,4.02535169073515,0,0.0,0,0.0,0,0.0,0,0,0,0,1,0,0,0,0,0,2,4.054679305829669
Carcassonne,2000,1.9064,2,5,7.521172638436482,55864.333333333336,7673,8.945593270806897,37.5,107937,11.58931226718867,16,2.833213344056216,155,5.049856007249537,17,2.8903717578961645,0,0,0,0,0,1,0,0,0,0,3,10.930699311728755
Blood & Plunder,2016,3.0,2,2,14.5,105.66666666666667,6,1.9459101490553132,75.0,100,4.61512051684126,0,0.0,1,0.6931471805599453,0,0.0,0,1,0,0,1,0,0,0,0,0,3,4.669708707125663
Sputnik,2005,1.2941,2,6,8.0,113.33333333333333,17,2.8903717578961645,15.0,167,5.123963979403259,1,0.6931471805599453,0,0.0,1,0.6931471805599453,1,0,0,0,0,0,0,1,0,1,1,4.73911815849783
Roll to the Top!,2018,1.0556,2,5,7.666666666666667,727.0,18,2.9444389791664403,20.0,1039,6.946975992135418,1,0.6931471805599453,4,1.6094379124341003,0,0.0,0,0,0,0,0,0,0,0,0,0,2,6.590301048196686
